# CSV-File created with merge-csv.com
# -----------------------------------------------------------

fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,July,03,ARUNACHAL PRADESH,0309,LOHIT,72856,0,0,0,1.82,0,23,238,0,0,0,0,7061,1.696,5.42778,0,0,5517,7758,0,5603,7896,238,1.91178,0,0,0,0,0,NA
2025-2026,July,03,ARUNACHAL PRADESH,0320,SIANG,102998,229.802478272821,31,2,19.9555062,0,44,426,94582,26,2,94508,11752,1.68,238.9872862,3026,3188,8349,11760,0,9655,13161,426,217.35178,37341,0,58.28,60.07,121.68,NA
2025-2026,July,03,ARUNACHAL PRADESH,0321,NAMSAI,546637,95.5914492078285,16,39,41.192689,13,70,370,17168,0,6,11376,10074,0.6235,58.227329,1033,1033,16918,29388,0,18073,30813,383,16.41114,6107,0,54.61,76.2,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0326,LOWER SIANG,69732,299.676690750504,20,1,0,0,26,287,15363,0,0,15350,10057,2.36,48.39933,739,858,4968,10112,1,5545,11034,287,46.03933,7935,0,0.05,46.75,100.9,NA
2025-2026,July,03,ARUNACHAL PRADESH,0303,EAST KAMENG,427138,300.646538442423,12,1,326.5459479,0,22,634,20121,0,2,20086,33973,7.8,394.8390379,1637,1638,33673,34029,0,36883,37253,634,60.49309,10025,0,88.08,88.08,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0304,LOWER SUBANSIRI,94839,347.176991150442,20,0,33.5712055,0,69,176,32318,0,0,32291,8329,1.08,146.8518655,1549,1549,6144,8342,0,8712,11886,176,112.20066,15802,0,64.44,64.44,132.44,NA
2025-2026,July,03,ARUNACHAL PRADESH,0307,EAST SIANG,90146,237.557213930348,12,0,71.5126010099998,0,77,410,3618,0,2,3597,12652,2.64634,82.7537610099998,279,279,9135,12684,0,9796,13426,410,8.59482,924,78,100,84.2,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0319,KRA-DAADI,306346,184.884921669471,16,4,377.4805343,1,21,502,84386,0,1,84216,22122,5.6065,539.1040243,5144,5148,21363,22149,0,22646,23548,503,156.01699,45187,1,65.27,79.27,124.51,NA
2025-2026,July,03,ARUNACHAL PRADESH,0321,NAMSAI,546637,130.268391959799,17,56,42.232689,13,67,372,19900,0,6,13997,10070,0.6235,68.779599,1130,1130,16917,29379,0,18133,30871,385,25.92341,7464,0,54.41,72.95,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0324,LEPARADA,58172,0,0,0,23.7826758,0,40,194,0,0,0,0,8235,2.13,26.1981558,0,0,4805,8245,0,5242,8725,194,0.28548,0,1,0,0,0,NA
2025-2026,July,03,ARUNACHAL PRADESH,0319,KRA-DAADI,306346,121.730286529236,16,4,377.4805343,1,21,497,77130,0,1,76972,22137,5.6065,476.9776043,4787,4791,21374,22164,0,22628,23533,498,93.89057,41491,1,62.71,78.04,149.69,NA
2025-2026,July,03,ARUNACHAL PRADESH,0326,LOWER SIANG,69732,299.676690750504,20,1,0,0,26,287,15363,0,0,15350,10057,2.36,48.39933,739,858,4967,10111,1,5544,11033,287,46.03933,7935,0,0.05,46.75,100.9,NA
2025-2026,July,03,ARUNACHAL PRADESH,0310,CHANGLANG,165817,1942.54431599229,13,0,131.743121748,6,52,777,1038,0,1,1038,24128,4.35,156.256731748,77,77,16197,30029,0,16982,31214,783,20.16361,539,0,48.07,100,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0311,TIRAP,147146,246.351108101956,17,20,237.202243252,68,2,966,171329,4,3,171120,40533,2.849,662.122133252,9821,10172,25109,40565,0,28221,44838,1034,422.07089,78322,0,96.26,97.57,101.34,NA
2025-2026,July,03,ARUNACHAL PRADESH,0312,PAPUM PARE,337456,250.016419465251,12,0,419.7881179,34,34,545,40318,0,7,40311,32706,4.757,525.3467379,3129,3130,26768,33577,0,28202,35041,579,100.80162,23155,0,26.7,26.7,102.99,NA
2025-2026,July,03,ARUNACHAL PRADESH,0313,UPPER SIANG,95676,239.248299737288,29,0,13.2048076,0,50,302,40729,0,0,40729,8721,2.58,113.2282476,1390,1392,7816,8737,0,8424,9371,302,97.44344,16446,0,73.95,73.95,101.03,NA
2025-2026,July,03,ARUNACHAL PRADESH,0316,KURUNG KUMEY,275720,227.031712139185,15,5,568.5863972,6,28,498,63225,31,13,63104,23064,6.625,718.7521972,4210,4210,19872,23121,0,21222,24802,504,143.5408,33309,0,50.14,64.78,157.98,NA
2025-2026,July,03,ARUNACHAL PRADESH,0321,NAMSAI,546637,130.170273663068,17,56,41.192689,13,67,371,19915,0,6,14012,10073,0.6235,67.739599,1131,1131,16917,29382,0,18103,30847,384,25.92341,7464,0,54.37,72.98,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0325,KAMLE,152013,666.739465875371,8,0,79.41176,0,30,260,6740,7,9,6700,10719,4.408,128.758,833,833,10172,10779,0,12128,12867,260,44.93824,3532,0,0,12.95,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0301,TAWANG,124225,264.604212683751,26,6,175.1227162,18,16,419,144421,14,4,144020,13969,3.21,560.4767662,5468,5486,8785,14004,0,9491,15014,437,382.14405,80748,0,80.86,81.2,121.91,NA
2025-2026,July,03,ARUNACHAL PRADESH,0307,EAST SIANG,90146,237.557213930348,12,0,71.5126010099998,0,77,410,3618,0,2,3597,12654,2.64634,82.7537610099998,279,279,9135,12686,0,9760,13386,410,8.59482,924,78,100,84.2,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0302,WEST KAMENG,158789,205.199523953453,16,0,28.836687011,35,77,349,26468,0,0,26456,12878,0.3,83.448897011,1648,1648,10198,12905,0,11122,14003,384,54.31221,10632,0,65.85,65.85,116.46,NA
2025-2026,July,03,ARUNACHAL PRADESH,0314,LOWER DIBANG VALLEY,154133,249.220146021532,7,0,74.7420646,5,33,553,8081,0,1,7722,12665,1.3575,96.2390446,1060,1060,12339,13672,0,14304,15698,558,20.13948,4222,22,93.5,93.5,100.5,NA
2025-2026,July,03,ARUNACHAL PRADESH,0303,EAST KAMENG,427138,302.658466279012,12,1,326.5459479,0,21,634,20121,0,2,20086,33973,7.8,395.2438579,1637,1638,33673,34029,0,36862,37232,634,60.89791,10025,0,88.08,88.08,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0305,UPPER SUBANSIRI,333130,5029.68333333333,15,0,361.3154893,0,73,981,360,0,26,360,35634,12.172,391.5943493,24,24,35672,35742,0,41206,41281,981,18.10686,150,0,0,0,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0309,LOHIT,72856,485.786171574904,12,2,1.82,0,23,239,781,0,0,716,7061,1.696,7.30999,65,65,5517,7758,0,5603,7896,239,3.79399,280,0,100,100,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0318,LONGDING,217168,237.33458005096,22,0,18.8818618,4,16,91,42779,0,0,42597,18267,2.6975,123.1087218,1940,3305,6078,18287,0,7091,20308,95,101.52936,21657,0,90.31,90.31,128.43,NA
2025-2026,July,03,ARUNACHAL PRADESH,0320,SIANG,102998,229.558288046351,31,2,19.9555062,0,44,426,94582,26,2,94508,11749,1.68,238.7563262,3026,3188,8348,11757,0,9664,13174,426,217.12082,37341,0,58.28,60.07,121.68,NA
2025-2026,July,03,ARUNACHAL PRADESH,0313,UPPER SIANG,95676,239.248299737288,29,0,13.2048076,1,50,301,40729,0,0,40729,8715,2.58,113.2282476,1390,1392,7810,8731,0,8417,9364,302,97.44344,16446,0,73.95,73.95,101.03,NA
2025-2026,July,03,ARUNACHAL PRADESH,0319,KRA-DAADI,306346,171.011257015082,16,4,377.4805343,1,21,504,91232,0,1,91020,22144,5.6065,539.1040243,5633,5637,21385,22172,0,22647,23549,505,156.01699,48771,1,67.88,80.83,124.51,NA
2025-2026,July,03,ARUNACHAL PRADESH,0324,LEPARADA,58172,0,0,0,23.7826758,0,40,194,0,0,0,0,8234,2.13,26.1981558,0,0,4805,8244,0,5249,8731,194,0.28548,0,1,0,0,0,NA
2025-2026,July,03,ARUNACHAL PRADESH,0325,KAMLE,152013,307.217514990936,15,0,81.37576,0,28,269,35855,22,9,35650,10777,4.408,195.9366,2266,2266,10233,10840,0,12128,12867,269,110.15284,18862,0,0,20.32,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0328,KEYI PANYOR,66343,306.472100752143,31,0,11.41789,0,40,130,5717,0,0,5717,8615,0.42,29.3589,183,306,5175,8615,1,6437,10634,130,17.52101,2784,1,9.45,9.45,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0301,TAWANG,124225,285.869055418594,26,7,186.6507776,25,15,419,148055,14,4,147649,13971,3.21,613.1042076,5557,5575,8786,14006,0,9500,15024,444,423.24343,82562,0,81.25,81.59,135.58,NA
2025-2026,July,03,ARUNACHAL PRADESH,0307,EAST SIANG,90146,237.557213930348,12,0,71.5126010099998,0,77,410,3618,0,2,3597,12650,2.64634,82.7537610099998,279,279,9134,12682,0,9806,13440,410,8.59482,924,78,100,84.2,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0311,TIRAP,147146,253.344141450101,19,25,237.202243252,70,2,999,210675,4,3,210343,40216,2.849,773.784013252,10556,11004,25156,40248,0,28258,44451,1069,533.73277,96525,0,96.84,97.9,101.23,NA
2025-2026,July,03,ARUNACHAL PRADESH,0314,LOWER DIBANG VALLEY,154133,250.204677638906,7,0,74.7420646,15,32,545,8081,0,1,7722,12658,1.3575,96.3186046,1060,1060,12339,13665,0,14267,15654,560,20.21904,4222,22,93.5,93.5,100.5,NA
2025-2026,July,03,ARUNACHAL PRADESH,0317,ANJAW,118797,0,0,0,62.4160728,0,22,299,0,0,5,0,8825,0.874,63.2900728,0,0,8399,8982,0,8928,9520,299,0,0,0,0,0,0,NA
2025-2026,July,03,ARUNACHAL PRADESH,0318,LONGDING,217168,214.207219561594,21,0,18.8818618,4,12,93,47399,0,0,47217,18149,2.6975,123.1114418,2170,3635,6087,18169,0,7099,20158,97,101.53208,23981,0,91.25,91.25,128.43,NA
2025-2026,July,03,ARUNACHAL PRADESH,0325,KAMLE,152013,230.647933330541,17,0,81.37576,0,28,273,47758,64,9,47466,10798,4.408,195.9366,2745,2745,10255,10862,0,12129,12868,273,110.15284,25233,0,0,15.66,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0305,UPPER SUBANSIRI,333130,5029.68333333333,15,0,361.3154893,0,73,981,360,0,26,360,35638,12.172,391.5943493,24,24,35670,35746,0,41212,41293,981,18.10686,150,0,0,0,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0319,KRA-DAADI,306346,170.974274377411,16,4,377.4805343,1,21,505,91232,0,1,91020,22144,5.6065,539.0702843,5633,5637,21385,22172,0,22685,23587,506,155.98325,48771,1,67.88,80.83,124.51,NA
2025-2026,July,03,ARUNACHAL PRADESH,0324,LEPARADA,58172,0,0,0,36.2612763,0,35,194,0,0,0,0,8234,2.13,38.6767563,0,0,4805,8244,0,5249,8731,194,0.28548,0,1,0,0,0,NA
2025-2026,July,03,ARUNACHAL PRADESH,0310,CHANGLANG,165817,1942.54431599229,13,0,131.743121748,11,52,775,1038,0,1,1038,24123,4.35,156.256731748,77,77,16168,29993,0,16980,31214,786,20.16361,539,0,48.07,100,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0314,LOWER DIBANG VALLEY,154133,249.220146021532,7,0,74.7420646,5,33,555,8081,0,1,7722,12658,1.3575,96.2390446,1060,1060,12339,13665,0,14259,15646,560,20.13948,4222,22,93.5,93.5,100.5,NA
2025-2026,July,03,ARUNACHAL PRADESH,0328,KEYI PANYOR,66343,278.908150270614,21,0,11.41789,0,40,130,6282,0,0,6282,8615,0.42,29.3589,296,419,5175,8615,1,6439,10636,130,17.52101,3119,1,17.59,17.59,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0309,LOHIT,72856,485.786171574904,12,2,15.350063549,0,21,241,781,0,0,716,7063,1.696,20.840053549,65,65,5517,7760,0,5605,7902,241,3.79399,280,0,100,100,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0320,SIANG,102998,240.458598860742,31,2,19.9555062,0,42,426,94623,26,2,94549,11751,1.68,249.1646462,3026,3188,8348,11759,0,9706,13229,426,227.52914,37347,0,58.29,60.09,123.88,NA
2025-2026,July,03,ARUNACHAL PRADESH,0328,KEYI PANYOR,66343,278.908150270614,21,0,11.41789,0,40,143,6282,0,0,6282,8615,0.42,29.3589,296,419,5175,8615,1,6439,10636,143,17.52101,3119,1,17.59,17.59,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0301,TAWANG,124225,285.895099793995,26,7,186.6507776,25,15,416,148055,14,4,147649,13973,3.21,613.1427676,5557,5575,8786,14008,0,9495,15021,441,423.28199,82562,0,81.25,81.59,135.58,NA
2025-2026,July,03,ARUNACHAL PRADESH,0306,WEST SIANG,82468,217.170524443228,25,9,16.175015,1,11,294,146155,45,2,145974,15714,5.23042,338.811015,5813,7580,6864,15723,0,7840,17412,295,317.40558,64001,0,41.4,49.56,141.37,NA
2025-2026,July,03,ARUNACHAL PRADESH,0310,CHANGLANG,165817,1123.94704570792,13,0,132.783121748,11,52,777,1794,0,1,1794,24119,4.35,157.296731748,131,131,16162,29978,0,16980,31205,788,20.16361,623,0,69.96,100,100,NA
2025-2026,July,03,ARUNACHAL PRADESH,0314,LOWER DIBANG VALLEY,154133,250.204677638906,7,0,74.7420646,15,32,545,8081,0,1,7722,12658,1.3575,96.3186046,1060,1060,12339,13665,0,14263,15650,560,20.21904,4222,22,93.5,93.5,100.5,NA
2025-2026,July,03,ARUNACHAL PRADESH,0319,KRA-DAADI,306346,166.176517588903,15,5,377.4805343,1,21,506,93866,0,1,93654,22142,5.6065,539.0702843,5892,5896,21384,22170,0,22698,23599,507,155.98325,50275,1,68.78,81.36,124.51,NA
2025-2026,July,03,ARUNACHAL PRADESH,0325,KAMLE,152013,307.217514990936,15,0,81.37576,0,28,270,35855,22,9,35650,10777,4.408,195.9366,2266,2266,10233,10840,0,12129,12868,270,110.15284,18862,0,0,20.32,100,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0301,TAWANG,164048,285.937016649218,26,7,186.6507776,25,14,426,148055,14,4,147649,13970,7.766,617.7608276,5557,5575,8786,14005,0,9504,15027,451,423.34405,82562,0,81.25,81.59,135.58,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0304,LOWER SUBANSIRI,128972,318.081802110677,21,0,33.5712055,0,69,180,37334,0,0,37297,8346,3.6,155.9238655,1752,1752,6161,8359,0,8732,11912,180,118.75266,18371,0,66.81,66.81,144.82,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0305,UPPER SUBANSIRI,452525,8.79703989393757,14,206,394.0607993,11,66,1076,207425,0,26,206593,38235,31.626,443.9340593,14413,14413,38299,38376,0,41228,41309,1087,18.24726,107378,0,53.55,56.67,100,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0314,LOWER DIBANG VALLEY,200293,253.365920059399,7,0,74.7420646,15,32,545,8081,0,1,7722,12658,5.3475,100.5640646,1060,1060,12339,13665,0,14269,15656,560,20.4745,4222,22,93.5,93.5,100.49,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0323,PAKKE KESSANG,124337,267.932112550246,12,0,493.7400746,0,0,122,4478,0,2,4478,7112,3.35,509.0880746,365,365,7097,7132,0,7817,7853,122,11.998,2480,0,55.61,55.61,0,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0325,KAMLE,206844,288.533753507266,17,0,81.37576,0,27,276,47758,64,9,47466,10798,6.928,226.10171,2745,2745,10255,10862,0,12132,12871,276,137.79795,25233,0,0,15.66,100,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0311,TIRAP,199716,250.753091729234,21,25,266.908820552,89,1,1151,304603,4,3,304189,39792,14.247,1044.957260552,13947,14436,25325,39824,0,28291,43818,1240,763.80144,139499,0,97.7,98.43,102.09,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0318,LONGDING,294825,204.348914268642,23,2,181.8459682,6,4,104,73637,0,0,73427,18355,14.4475,346.7698782,3158,5085,6135,18375,0,7180,20409,110,150.47641,35390,0,87.46,87.46,118.23,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0301,TAWANG,164048,288.231284314056,26,7,186.6507776,73,14,380,148445,14,4,148039,13959,12.596,627.1117076,5557,5575,8784,13994,0,9519,15032,453,427.86493,82802,0,80.64,81.78,135.58,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0309,LOHIT,109019,445.121900826446,10,2,15.350063549,5,19,236,968,0,0,903,7063,6.208,25.866843549,93,93,5517,7760,0,5606,7903,241,4.30878,453,0,100,100,100,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0317,ANJAW,161222,0,0,0,62.4160728,26,22,273,0,0,5,0,8825,4.89,67.3060728,0,0,8399,8982,0,8934,9526,299,0,0,0,0,0,0,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0324,LEPARADA,78917,0,0,0,36.2612763,3,35,191,0,0,0,0,8227,10.674,47.2207563,0,0,4805,8237,0,5468,8944,194,0.28548,0,1,0,0,0,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0326,LOWER SIANG,94357,297.682578462695,21,1,0,0,26,287,15963,0,0,15950,10056,6.44,53.95907,742,864,4967,10110,1,5543,11031,287,47.51907,8269,0,0.04,48.2,104.4,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0312,PAPUM PARE,469892,239.613486009531,11,0,1094.3377804,35,6,572,57289,60,10,56186,32815,23.785,1255.3949504,5053,5054,26946,33733,0,28422,35249,607,137.27217,31898,0,26.81,26.81,102.31,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0322,SHI YOMI,56601,238.440441482716,11,0,20.4407778,0,22,112,4802,0,0,4802,5199,1.52,33.4106878,422,430,2588,5201,0,2964,5815,112,11.44991,1911,0,55.14,67.39,100,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0315,UPPER DIBANG VALLEY,50176,240.646963517515,43,1,17.7488592,4,6,97,89495,81,5,86892,2690,1.67,234.7858592,2081,2095,2779,2798,0,2828,2847,101,215.367,48804,0,22.09,4.15,100,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0320,SIANG,139797,240.458598860742,31,2,46.3608662,3,42,423,94623,26,2,94549,11711,6.92,280.8100062,3026,3188,8348,11719,0,9722,13209,426,227.52914,37347,0,58.09,60.15,123.88,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0324,LEPARADA,78917,0,0,0,36.2612763,3,35,191,0,0,0,0,8234,2.13,38.6767563,0,0,4805,8244,0,5384,8867,194,0.28548,0,1,0,0,0,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0325,KAMLE,206844,288.836530005444,17,0,81.37576,0,27,273,47758,64,9,47466,10798,4.408,223.72631,2745,2745,10255,10862,0,12132,12871,273,137.94255,25233,0,0,15.66,100,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0328,KEYI PANYOR,90035,277.790671760586,21,0,11.59789,0,40,184,6282,0,0,6282,8615,2.1,31.1487,296,419,5175,8615,1,6440,10637,184,17.45081,3119,1,17.59,17.59,100,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0301,TAWANG,164048,265.169923460692,28,7,257.207270125,81,11,378,161355,28,4,160935,13969,13.076,698.148200125,5577,5596,8800,14004,0,9524,15028,459,427.86493,89692,0,80.81,81.87,135.58,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0304,LOWER SUBANSIRI,128972,319.812079562503,23,0,33.5712055,0,65,191,41326,0,0,41289,8347,5.4,171.1367455,1752,1752,6161,8360,0,8734,11909,191,132.16554,20226,0,66.88,66.88,162.65,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0305,UPPER SUBANSIRI,452525,239.975064423223,13,222,441.9474493,208,36,1043,283671,205,28,282244,38692,65.9315,1188.6186143,20399,20399,38770,38842,0,41352,41429,1251,680.739665,148769,0,47.49,49.77,137.2,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0312,PAPUM PARE,469892,170.531510188666,12,0,1411.7524347,45,2,592,116502,214,20,113888,32912,23.785,1634.2100547,8997,8998,27073,33860,0,28408,35230,637,198.67262,62332,0,33.85,33.85,101.57,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0314,LOWER DIBANG VALLEY,200293,224.949956272471,8,0,536.207465152,27,18,533,10291,0,1,9772,12657,7.7475,567.104565152,1170,1170,12338,13664,0,14291,15678,560,23.1496,5468,22,94.9,94.9,100.43,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0319,KRA-DAADI,415576,141.59336869797,16,8,1110.6463143,30,7,537,231116,15,1,230736,22517,29.588,1467.4792443,14411,14449,21771,22545,0,22730,23618,567,327.24493,122084,1,47.79,54.3,110.23,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0321,NAMSAI,574372,253.453253143794,18,72,496.8554866,36,42,391,25606,0,6,19765,10066,5.2925,567.0472266,1366,1366,16915,29367,0,18190,30932,427,64.89924,10098,0,52.53,66.95,167.39,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0326,LOWER SIANG,94357,297.682578462695,21,1,111.7418067,0,19,287,15963,0,0,15950,10056,8,167.2608767,742,864,4967,10110,1,5543,11031,287,47.51907,8269,0,0.04,48.2,104.4,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0312,PAPUM PARE,469892,270.57368917109,12,0,573.815405500001,34,14,567,40318,0,7,40311,32706,4.757,687.662305500001,3129,3130,26765,33577,0,28408,35260,601,109.0899,23155,0,26.7,26.7,102.99,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0314,LOWER DIBANG VALLEY,200293,250.204677638906,7,0,74.7420646,15,32,545,8081,0,1,7722,12658,1.3575,96.3186046,1060,1060,12339,13665,0,14268,15655,560,20.21904,4222,22,93.5,93.5,100.5,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0315,UPPER DIBANG VALLEY,50176,188.895044415889,43,1,17.7488592,0,6,101,89495,81,5,86892,2690,1.67,188.4704792,2081,2095,2779,2798,0,2828,2847,101,169.05162,48804,0,22.09,4.15,100,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0316,KURUNG KUMEY,373585,226.917358639779,15,5,702.3409013,6,14,501,63225,31,13,63104,23054,9.125,854.9344013,4210,4210,19867,23111,0,21233,24808,507,143.4685,33309,0,50.89,66.32,157.98,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0317,ANJAW,161222,0,0,0,62.4160728,0,22,299,0,0,5,0,8825,0.874,63.2900728,0,0,8399,8982,0,8928,9520,299,0,0,0,0,0,0,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0320,SIANG,139797,240.458598860742,31,2,46.3608662,3,42,423,94623,26,2,94549,11717,1.68,275.5700062,3026,3188,8348,11725,0,9716,13205,426,227.52914,37347,0,58.09,60.15,123.88,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0312,PAPUM PARE,469892,251.110762047003,12,0,1411.7524347,89,2,587,116502,214,20,113888,32885,23.785,1728.0864947,8997,8998,27055,33833,0,28417,35230,676,292.54906,62332,0,33.85,33.85,101.04,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0322,SHI YOMI,56601,238.440441482716,11,0,20.4407778,0,22,112,4802,0,0,4802,5199,2.6,34.4906878,422,430,2588,5201,0,2964,5815,112,11.44991,1911,0,55.14,67.39,100,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0323,PAKKE KESSANG,124337,286.551138901295,12,0,656.6594226,10,0,112,4478,0,2,4478,7112,3.35,672.8411826,365,365,7097,7132,0,7847,7883,122,12.83176,2480,0,55.61,55.61,0,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0325,KAMLE,206844,262.17533632287,15,1,81.56576,7,13,271,86970,74,10,86593,11096,9.892,319.47165,5725,5730,10553,11162,0,12132,12871,278,228.01389,45402,0,13.48,22.4,100,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0306,WEST SIANG,111908,223.294382954131,27,8,143.2387274,29,5,270,159194,45,2,159013,15722,20.87242,519.5824074,5892,7713,6889,15731,2,8102,17669,299,355.47126,69491,0,38.8,46.55,149.81,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0318,LONGDING,294825,215.088493160436,21,2,181.8459682,6,1,116,84289,0,0,84079,18346,14.4475,377.5894082,3919,5846,6180,18366,0,7181,20287,122,181.29594,37811,0,76.4,76.4,123.35,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0325,KAMLE,206844,230.610285530184,21,1,190.48576,7,12,271,124155,149,11,123523,11103,9.892,486.69196,5778,5783,10561,11170,0,12136,12875,278,286.3142,65064,0,13.52,23.23,100,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0326,LOWER SIANG,94357,295.351895734597,21,1,273.677711658,8,8,279,16880,0,0,16867,10071,11.72,335.253111658,803,950,4977,10125,1,5543,11031,287,49.8554,8797,0,0.04,47.14,104.23,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0328,KEYI PANYOR,90035,239.791459831831,21,33,15.34917,3,6,204,98710,0,0,98680,10030,3.58,255.62732,4590,6339,6033,10032,3,6628,10804,207,236.69815,49193,0,8.76,8.76,100.15,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0305,UPPER SUBANSIRI,452525,187.818596274904,13,234,441.9474493,220,37,1039,369816,277,29,368128,39170,65.9315,1202.4621693,26577,26577,39249,39326,0,41405,41485,1259,694.58322,193505,0,52.52,54.27,140.32,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0310,CHANGLANG,270949,252.90699881376,13,3,639.806024648,271,28,578,54795,24,2,36799,24206,18.61,796.996414648,4112,4112,16268,30101,0,17012,31224,849,138.58039,17014,0,37.3,38.91,100,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0325,KAMLE,206844,234.55787630671,16,1,81.56576,7,12,271,97095,74,10,96658,11097,9.892,319.20173,5729,5734,10554,11163,0,12136,12875,278,227.74397,50712,0,17.14,25.17,100,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0302,WEST KAMENG,215494,247.340772829666,16,0,151.814786591,95,62,290,28855,0,0,28843,12866,3.9675,227.152466591,1725,1725,10195,12893,0,11468,14430,385,71.37018,11128,0,67.57,67.57,142.93,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0309,LOHIT,109019,360.827137546468,22,2,23.285063549,5,16,236,2152,0,0,2018,7064,8.96,40.010063549,94,94,5518,7761,0,5606,7903,241,7.765,1074,0,100,100,100,NA
2025-2026,Aug,03,ARUNACHAL PRADESH,0310,CHANGLANG,270949,226.385970590955,13,2,639.806024648,260,28,584,43252,24,2,29717,24203,18.61,756.332484648,3166,3166,16248,30091,0,17013,31237,844,97.91646,13172,0,45.36,47.4,100,NA
