# CSV-File created with merge-csv.com
# -----------------------------------------------------------

fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,02,ANDHRA PRADESH,0210,CHITTOOR,798152,272.470130521061,8,339,0,459,22,51327,244405,64960,109215,7566,13402,5,670.9306225,28468,37863,206756,383106,0,274691,492901,51786,665.9306225,153326,63,60.61,74.54,100,NA
2025-2026,April,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,1603631,287.722092199331,8,855,0,130,8,68940,331651,7986,9726,301604,409558,0,954.233196000004,38268,58247,227685,447204,0,253959,486501,69070,954.233196000004,172509,82,49.72,62.39,100,NA
2025-2026,April,02,ANDHRA PRADESH,0219,BAPATLA,917967,272.620923490437,7,322,0,399,64,33991,170397,43932,136048,6397,14639,0,464.537875000001,21566,30513,205412,382643,0,271064,478501,34390,464.537875000001,89658,25,54.3,64.16,100,NA
2025-2026,April,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,641749,282.504099040603,7,292,0,93,80,38549,127059,15908,64138,5114,24690,0,358.9468832,16838,25240,209189,397695,0,282525,523104,38642,358.9468832,69081,58,65.01,82.98,100,NA
2025-2026,April,02,ANDHRA PRADESH,0207,GUNTUR,397285,252.1818872751,7,97,0,44,58,17009,58248,26693,69396,1107,5531,0,146.8909057,8219,11166,88000,154292,0,136531,228772,17053,146.8909057,31989,47,94.6,92.01,100,NA
2025-2026,April,02,ANDHRA PRADESH,0208,PRAKASAM,2033781,195.733179061788,6,578,0,65,182,44159,308374,71420,193606,11332,21229,1.68178,605.272013599999,44892,67340,365173,702024,0,452440,835011,44224,603.590233599999,174679,34,19.45,41.01,100,NA
2025-2026,April,02,ANDHRA PRADESH,0209,NELLORE,748867,212.070560094553,7,368,0,96,233,52266,271597,69902,136441,10495,29292,0,575.977279100002,37996,48680,268305,469692,0,359127,607953,52362,575.977279100002,175158,41,42.51,61.18,100,NA
2025-2026,April,02,ANDHRA PRADESH,0210,CHITTOOR,798152,270.128468532593,8,323,0,443,51,51268,217765,57818,109207,6775,13400,5,593.2452595,26536,35039,206728,383048,0,274655,492821,51711,588.2452595,137195,63,58.71,73.06,100,NA
2025-2026,April,02,ANDHRA PRADESH,0215,ANAKAPALLI,1217190,258.204403371163,6,1477,0,81,80,38952,605963,47493,34333,10880,16604,0.5,1565.1231488,93935,114870,232261,382331,0,289260,456088,39033,1564.6231488,437005,58,25.12,93.28,100,NA
2025-2026,April,02,ANDHRA PRADESH,0218,NTR,366507,299.21209640674,7,540,0,7,13,24544,265998,96986,121208,18671,23324,0,795.8981922,36724,50704,172531,319090,0,215151,388065,24551,795.8981922,157112,38,70.09,84.4,100,NA
